Epoch,Train Loss,Train Acc,Test Loss,Test Acc
0,0.2087721098510282,58.7262,0.17686536119152338,62.8520
1,0.19677754167535466,60.3403,0.17214999859913802,63.8960
2,0.19276723736101173,60.9125,0.17235222386244015,63.9700
3,0.19047875686823423,61.2619,0.1867030537663362,63.4920
4,0.18970517248573307,61.3385,0.16913667402397364,64.4220
5,0.18891707477792063,61.4558,0.16922969191502302,64.5900
6,0.18056654291653063,62.4754,0.163087140615934,65.3600
7,0.17917684890766794,62.6916,0.1617251699933639,65.3360
8,0.17898729891671752,62.6752,0.16107728192821527,65.7020
9,0.17880433671364765,62.7664,0.15989362963308126,65.5860
10,0.17853996169556388,62.8110,0.16006904993301782,65.4500
11,0.1761508798004328,63.0935,0.1577248242421028,66.0040
12,0.17558049987333496,63.2321,0.16068632326638088,65.8440
13,0.17532867756649406,63.2348,0.15808557100976126,65.8900
14,0.17531599592499733,63.2800,0.1571385289231936,66.0960
15,0.17509002635196463,63.3038,0.15882800622628285,65.8620
16,0.17474519872667788,63.3634,0.15752235948084256,66.0560
17,0.17459532867743782,63.4081,0.15700547933960574,65.9940
18,0.1747019800063208,63.3616,0.15705932000508674,66.0400
19,0.17460488330899257,63.3558,0.1580167999252295,66.1320
